id,created_date,modified_date,given_name,family_name,email_addresses,phone_numbers,postal_addresses,sms_opt_in_status,blocked_date
474960,1554167964,1664202529,Enialis,Liadon,"[{'primary': True, 'address': 'enialis.liadon@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '10031'}]",OPT_IN,
474960,1554167964,1664202529,Varis,Galanodel,"[{'primary': True, 'address': 'varis.galanodel@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '10031'}]",OPT_IN,
445617,1552433040,1663951225,Hadarai,Nailo,"[{'primary': True, 'address': 'hadarai.nailo@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '94530'}]",UNSPECIFIED,
516527,1556074554,1663950507,Himo,Amakir,"[{'primary': True, 'address': 'himo.amakir@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '22903'}]",UNSPECIFIED,
516527,1556074554,1663950507,Galinndan,Amastacia,"[{'primary': True, 'address': 'galinndan.amastacia@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '22903'}]",UNSPECIFIED,
516527,1556074554,1663950507,Himo,Ilphelkiir,"[{'primary': True, 'address': 'himo.ilphelkiir@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '22903'}]",UNSPECIFIED,
519512,1556239906,1663950376,Tharivol,Amastacia,"[{'primary': True, 'address': 'tharivol.amastacia@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '07302'}]",UNSPECIFIED,
59617,1535507421,1664131463,Mindartis,Nailo,"[{'primary': True, 'address': 'mindartis.nailo@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '67031'}]",UNSPECIFIED,
59617,1535507421,1664131463,Shanairra,Amastacia,"[{'primary': True, 'address': 'shanairra.amastacia@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '67031'}]",UNSPECIFIED,
3288,1519341239,1663948538,Mindartis,Nailo,"[{'primary': True, 'address': 'mindartis.nailo@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '06001'}]",UNSPECIFIED,
8364,1523666261,1663949151,Adran,Holimion,"[{'primary': True, 'address': 'adran.holimion@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '94803'}]",OPT_IN,
4560,1520553580,1663950764,Leshanna,Galanodel,"[{'primary': True, 'address': 'leshanna.galanodel@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '94803'}]",UNSPECIFIED,
283640,1540771324,1663951429,Soveliss,Siannodel,"[{'primary': True, 'address': 'soveliss.siannodel@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '38107'}]",UNSPECIFIED,
474960,1554167964,1664202529,Himo,Ilphelkiir,"[{'primary': True, 'address': 'himo.ilphelkiir@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '10031'}]",OPT_IN,
474960,1554167964,1664202529,anastrianna,Nailo,"[{'primary': True, 'address': 'anastrianna.nailo@example.com'}]","[{'primary': True, 'number': '5555555555'}]","[{'primary': True, 'postal_code': '10031'}]",OPT_IN,
